11193918	2012-04-05 21:16:44	36238	22905	16	{79424,79426,79427,79428}	{0102000020E610000004000000962EB3BE37103340C35E72ED55C54740194C0D7E2C1033401AA9F7544EC54740CF667A2EF80F3340B003E78C28C547403669AE09DA0F3340D82A48E00CC54740:0102000020E610000007000000000000001811334080B0900762C54740F6BB0BEFCD103340C910B68E60C5474062C90B9F63103340008C0C175EC547406774513E4E1033408A754FC35CC54740E9B985AE441033405568C5DC5AC54740FEE0325D3E1033406E9C5E7358C54740962EB3BE37103340C35E72ED55C54740:0102000020E610000002000000D492D8FF4A103340C88047AF61C54740FEE0325D3E1033406E9C5E7358C54740:0102000020E610000002000000FDB26AC658103340F9E582E96AC54740FE1186014B10334034C170AE61C54740}	{NULL:0102000020E610000009000000000000001811334080B0900762C54740F6BB0BEFCD103340C910B68E60C5474062C90B9F63103340008C0C175EC547406774513E4E1033408A754FC35CC54740E9B985AE441033405568C5DC5AC54740962EB3BE37103340C35E72ED55C54740194C0D7E2C1033401AA9F7544EC54740CF667A2EF80F3340B003E78C28C547403669AE09DA0F3340D82A48E00CC54740:NULL:0102000020E610000002000000BC9B02F45610334017D11B936AC547404BAFCDC64A103340CEE15AED61C54740}
11193918	2012-04-05 21:16:45	36240	22905	16	{79430}	{0102000020E610000005000000527644CF77133340F9F6AE415FC54740C623A7655A1333409E8598A663C5474054E23AC615133340F913950D6BC547403AD7E6B5C81233409FF06D556DC54740DD05EF50B9123340818F0B186EC54740}	{0102000020E610000005000000527644CF77133340F9F6AE415FC54740C623A7655A1333409E8598A663C5474054E23AC615133340F913950D6BC547403AD7E6B5C81233409FF06D556DC54740DD05EF50B9123340818F0B186EC54740}
11193918	2012-04-05 21:16:43	36238	22906	16	{79424,79426}	{0102000020E6100000020000003669AE09DA0F3340D82A48E00CC5474000000000B00F3340FE673848E6C44740:0107000020E610000000000000}	{NULL:0102000020E6100000020000003669AE09DA0F3340D82A48E00CC5474000000000B00F3340FE673848E6C44740}
11193918	2012-04-05 21:16:42	36242	22906	16	{79423}	{0101000020E61000009987A7B283153340E7A2C629DFC44740}	{NULL}
11193918	2012-04-05 21:16:43	36237	22906	16	{79424,79426}	{0102000020E61000000700000000000000B00F3340FE673848E6C4474037F28AF1AB0F334039F1D58EE2C44740A83F564B950F3340C158DFC0E4C44740CE24A078840F334038E565A8E5C447401D0D96A0750F33401571DF0FE4C44740B83EAC376A0F3340CF746506E0C4474001A5A146210F334082919735B1C44740:0107000020E610000000000000}	{NULL:0102000020E61000000700000000000000B00F3340FE673848E6C4474037F28AF1AB0F334039F1D58EE2C44740A83F564B950F3340C158DFC0E4C44740CE24A078840F334038E565A8E5C447401D0D96A0750F33401571DF0FE4C44740B83EAC376A0F3340CF746506E0C4474001A5A146210F334082919735B1C44740}
11193918	2012-04-05 21:16:44	36239	22905	16	{79425,79426,79429}	{0101000020E610000070B8EA950D123340BEDEFDF15EC54740:0102000020E61000000300000022FC8BA0311133408A986D0267C547400D84AE8E2D113340FE1D407562C54740000000001811334080B0900762C54740:0102000020E6100000020000005DE5643D10123340F7FEAB3363C5474070B8EA950D123340BEDEFDF15EC54740}	{0101000020E6100000D5EDEC2B0F12334096FB2EB65AC54740:0102000020E61000000300000022FC8BA0311133408A986D0267C547400D84AE8E2D113340FE1D407562C54740000000001811334080B0900762C54740:0102000020E610000002000000313A6A9615123340C2BDD7B562C54740D5EDEC2B0F12334096FB2EB65AC54740}
11193918	2012-04-05 21:16:45	18120	11452	15	{}	{}	{}
11193918	2012-04-05 21:16:44	18119	11452	15	{}	{}	{}
11193918	2012-04-05 21:16:43	18118	11453	15	{}	{}	{}
11193918	2012-04-05 21:16:43	18119	11453	15	{}	{}	{}
11193918	2012-04-05 21:16:42	18121	11453	15	{}	{}	{}
11193918	2012-04-05 21:16:44	9059	5726	14	{}	{}	{}
11193918	2012-04-05 21:16:45	9060	5726	14	{}	{}	{}
11193918	2012-04-05 21:16:45	4530	2863	13	{}	{}	{}
11193918	2012-04-05 21:16:44	4529	2863	13	{}	{}	{}
11193918	2012-04-05 21:16:45	2265	1431	12	{}	{}	{}
11193918	2012-04-05 21:16:44	2264	1431	12	{}	{}	{}
11193918	2012-04-05 21:16:45	1132	715	11	{}	{}	{}
11193918	2012-04-05 21:16:45	566	357	10	{}	{}	{}
11193918	2012-04-05 21:16:45	283	178	9	{}	{}	{}
11193918	2012-04-05 21:16:45	141	89	8	{}	{}	{}
11193918	2012-04-05 21:16:45	70	44	7	{}	{}	{}
11193918	2012-04-05 21:16:45	35	22	6	{}	{}	{}
11193918	2012-04-05 21:16:45	17	11	5	{}	{}	{}
11193918	2012-04-05 21:16:45	8	5	4	{}	{}	{}
11193918	2012-04-05 21:16:45	4	2	3	{}	{}	{}
11193918	2012-04-05 21:16:45	2	1	2	{}	{}	{}
