12456522	2012-07-23 19:28:37	36234	22916	16	{7535974,7535972}	{0102000020E6100000020000000CBAC095BE0A3340A3D36CB1D3BF474000000000780B334044A0D5FEE4BF4740:0102000020E61000000200000074D2F91D5A0A3340A3D36CB1D3BF474005B05CCA540A3340F2834E63D6BF4740}	{NULL:NULL}
12456522	2012-07-23 19:28:42	36234	22918	16	{7535978}	{0102000020E61000000300000077C311FF0B0B334091EA854C43BF4740291D5146010B3340A81B28F04EBF4740957FEDE1F50A33408C8953145ABF4740}	{0102000020E61000000300000077C311FF0B0B334091EA854C43BF4740291D5146010B3340A81B28F04EBF4740957FEDE1F50A33408C8953145ABF4740}
12456522	2012-07-23 19:28:43	36235	22916	16	{7535982,7535981,7535974}	{0102000020E610000005000000211F99B3E30B3340E5F5BB0BEFBF4740D98FB9D7EE0B3340CEFBA47FEEBF4740CE1EC3BEF80B33406FB1EC93EDBF47403569AE2E020C3340E749E361EBBF474091B52B99080C33403D6E5397E7BF4740:0102000020E610000005000000B2C9D067F60B334043FBFD07FDBF47403A652431F70B3340D47FD6FCF8BF47400C5D8940F50B3340CB2B7C22F4BF4740A5DE5339ED0B334061C9B0E5F0BF4740211F99B3E30B3340E5F5BB0BEFBF4740:0102000020E61000000200000000000000780B334044A0D5FEE4BF4740211F99B3E30B3340E5F5BB0BEFBF4740}	{0102000020E610000005000000211F99B3E30B3340E5F5BB0BEFBF4740D98FB9D7EE0B3340CEFBA47FEEBF4740CE1EC3BEF80B33406FB1EC93EDBF47403569AE2E020C3340E749E361EBBF474091B52B99080C33403D6E5397E7BF4740:0102000020E610000005000000B2C9D067F60B334043FBFD07FDBF47403A652431F70B3340D47FD6FCF8BF47400C5D8940F50B3340CB2B7C22F4BF4740A5DE5339ED0B334061C9B0E5F0BF4740211F99B3E30B3340E5F5BB0BEFBF4740:NULL}
12456522	2012-07-23 19:28:42	36234	22917	16	{7535980,7535979,7535978,7535977,7535976,7535975,7535974,7535973,7535972,7535971}	{0102000020E61000000300000017AFC3E2810A3340D36F5F07CEBF4740A8BA91C3710A33402097DD38CEBF47400FD4298F6E0A3340DED5613BCEBF4740:0102000020E6100000040000005596D7005B0A33403D31467FC3BF47400A9EE7F4610A3340DF628F9AC0BF47404A25E1E7640A334016962EB3BEBF47405C519495700A33407A7A00E6B5BF4740:0102000020E610000008000000957FEDE1F50A33408C8953145ABF474049B5F40DF10A334029F114CD5EBF474075F2D885D50A3340DBE9BDE776BF4740F60EB743C30A3340DC2049FF81BF4740662DAAEA8A0A33409C244C07A1BF474091F7054F7C0A3340DFF4786BAABF4740F4BBFAC2750A3340BEF73768AFBF47408AFD0A3E720A3340DA887148B4BF4740:0102000020E6100000040000005C519495700A33407A7A00E6B5BF4740287854466D0A334087EFB380BFBF474063AAAAE16C0A334032E5E896C2BF47406F10AD156D0A33403696B036C6BF4740:0102000020E6100000040000005596D7005B0A33403D31467FC3BF474075F8B53F610A3340254B9CCBC3BF47401F3E9FB7670A334084674293C4BF47406F10AD156D0A33403696B036C6BF4740:0102000020E6100000040000006F10AD156D0A33403696B036C6BF474074999A046F0A3340DC300A82C7BF47408BD5308D700A33404038FAF3C8BF47401A76734C710A33405DD5A3BACABF4740:0102000020E61000000200000017AFC3E2810A3340D36F5F07CEBF47400CBAC095BE0A3340A3D36CB1D3BF4740:0102000020E6100000020000001A76734C710A33405DD5A3BACABF474017AFC3E2810A3340D36F5F07CEBF4740:0102000020E610000002000000EEC4F6A45D0A3340308095E8D1BF474074D2F91D5A0A3340A3D36CB1D3BF4740:0102000020E610000002000000590DD308470A3340C871F101CBBF47402556EB692C0A33400D03965CC5BF4740}	{0102000020E6100000030000007156E993810A334049449D5ECEBF4740A8BA91C3710A33402097DD38CEBF47400FD4298F6E0A3340DED5613BCEBF4740:0102000020E6100000040000005596D7005B0A33403D31467FC3BF47400A9EE7F4610A3340DF628F9AC0BF47404A25E1E7640A334016962EB3BEBF47405C519495700A33407A7A00E6B5BF4740:0102000020E610000008000000957FEDE1F50A33408C8953145ABF474049B5F40DF10A334029F114CD5EBF474075F2D885D50A3340DBE9BDE776BF4740F60EB743C30A3340DC2049FF81BF4740662DAAEA8A0A33409C244C07A1BF474091F7054F7C0A3340DFF4786BAABF4740F4BBFAC2750A3340BEF73768AFBF47408AFD0A3E720A3340DA887148B4BF4740:0102000020E6100000030000005C519495700A33407A7A00E6B5BF4740287854466D0A334087EFB380BFBF474063AAAAE16C0A334032E5E896C2BF4740:0102000020E6100000040000005596D7005B0A33403D31467FC3BF474075F8B53F610A3340254B9CCBC3BF47401F3E9FB7670A334084674293C4BF47406F10AD156D0A33403696B036C6BF4740:0102000020E61000000200000074999A046F0A3340DC300A82C7BF47408BD5308D700A33404038FAF3C8BF4740:NULL:NULL:NULL:NULL}
12456522	2012-07-23 19:28:43	18117	11458	15	{}	{}	{}
12456522	2012-07-23 19:28:42	18117	11459	15	{}	{}	{}
12456522	2012-07-23 19:28:43	9058	5729	14	{}	{}	{}
12456522	2012-07-23 19:28:43	4529	2864	13	{}	{}	{}
12456522	2012-07-23 19:28:43	2264	1432	12	{}	{}	{}
12456522	2012-07-23 19:28:43	1132	716	11	{}	{}	{}
12456522	2012-07-23 19:28:43	566	358	10	{}	{}	{}
12456522	2012-07-23 19:28:43	283	179	9	{}	{}	{}
12456522	2012-07-23 19:28:43	141	89	8	{}	{}	{}
12456522	2012-07-23 19:28:43	70	44	7	{}	{}	{}
12456522	2012-07-23 19:28:43	35	22	6	{}	{}	{}
12456522	2012-07-23 19:28:43	17	11	5	{}	{}	{}
12456522	2012-07-23 19:28:43	8	5	4	{}	{}	{}
12456522	2012-07-23 19:28:43	4	2	3	{}	{}	{}
12456522	2012-07-23 19:28:43	2	1	2	{}	{}	{}
