13018562	2012-09-07 05:42:50	36241	22913	16	{79440,79435,79437,79438,79444}	{0102000020E6100000020000004064DBB3F8143340617138F3ABC147401516815605153340CC722376B7C14740:0101000020E61000003F64DBB3F8143340617138F3ABC14740:NULL:0102000020E6100000030000009E6EB0CCE41433403EADD00FBAC147401516815605153340CC722376B7C1474059188C081B1533403EADD00FBAC14740:0102000020E6100000060000000000000050153340E6F1661169C14740252367614F1533400624AB6C69C14740D2B9EC212B15334008F1DCD671C14740A21F5734E714334023EAF4728EC14740B0C513E6E2143340732C94F194C147404064DBB3F8143340617138F3ABC14740}	{NULL:0101000020E6100000C6D6D8CAF01433407352F3B0ABC14740:0101000020E61000005743E21E4B153340ADDD76A1B9C14740:NULL:0102000020E6100000080000000000000050153340E6F1661169C14740252367614F1533400624AB6C69C14740D2B9EC212B15334008F1DCD671C14740A21F5734E714334023EAF4728EC14740B0C513E6E2143340732C94F194C14740C7D6D8CAF01433407352F3B0ABC1474074A2B83E07153340FD2A0A05B6C147401A0ED3F1241533403EADD00FBAC14740}
13018562	2012-09-07 05:42:50	36242	22913	16	{79441,79443,79434,79439,79444,79445,79446}	{NULL:0101000020E61000009B1430CBE8153340C4AF58C345C14740:0101000020E61000000D30986489153340FAC1AF4797C14740:0102000020E6100000070000002C9501B1B6153340B350210D5DC147404A905BDDFB153340BC6DF0CF56C14740C9DA954C04163340F6B86FB54EC14740ED889EEF02163340B0EA07D04AC1474006A051BAF41533400AACD2CC49C14740A1754309E91533402F8E250747C147409B1430CBE8153340C5AF58C345C14740:0102000020E6100000020000009772BED87B153340F52801D64FC147400000000050153340E6F1661169C14740:0102000020E61000000300000047A753C32316334083BA922E47C147403D7892191416334079CBD58F4DC14740C9DA954C04163340F6B86FB54EC14740:0102000020E6100000060000005DE5643D101633402ACD412B8BC14740AFB5F7A92A163340FD4E93196FC147403A494E812716334088D62F7D54C1474047A753C32316334083BA922E47C147402071D9322A163340201B37EB42C1474048E5EB702A16334095B2847B40C14740}	{0101000020E6100000D978B0C56E153340AAA8B008B4C14740:0101000020E6100000B2E03433E9153340B344679945C14740:0101000020E610000035CA9F145215334091F8CBDD9DC14740:NULL:0102000020E6100000020000009772BED87B153340F52801D64FC147400000000050153340E6F1661169C14740:0102000020E610000002000000968B42DCE6153340E8B34D3B46C14740B3E03433E9153340B344679945C14740:0102000020E6100000060000005DE5643D101633402ACD412B8BC14740AFB5F7A92A163340FD4E93196FC147403A494E812716334088D62F7D54C1474047A753C32316334083BA922E47C147402071D9322A163340201B37EB42C1474048E5EB702A16334095B2847B40C14740}
13018562	2012-09-07 05:42:50	36242	22914	16	{79442,79433,79446}	{0101000020E610000011D61066241633404B5068FE3DC14740:0102000020E610000002000000A46FD234281633406D713216F2C04740DE87CD1143163340501F813FFCC04740:0102000020E61000000600000048E5EB702A16334095B2847B40C1474002B452AD2A1633403A419B1C3EC14740FC276ECB361633406795E35F15C14740591BBEE02E1633404240BE840AC1474027B38BB333163340009EA34401C14740DE87CD1143163340501F813FFCC04740}	{0101000020E610000042D6AE6422163340EC191DEB3DC14740:0102000020E610000002000000A46FD234281633406D713216F2C04740ED6A4D4E48163340017C0107FEC04740:0102000020E61000000400000048E5EB702A16334095B2847B40C1474002B452AD2A1633403A419B1C3EC1474074C0649934163340A535069D10C14740591BBEE02E1633404240BE840AC14740}
13018562	2012-09-07 05:42:50	36241	22912	16	{79436,79437,79438,79444}	{0101000020E6100000B6D4E6A49C143340DF7C34E6BFC14740:0101000020E61000001DF521B946153340FA60191BBAC14740:0105000020E610000002000000010200000004000000B6D4E6A49C143340E07C34E6BFC147408E92FC2DA61433400E0F0643C2C14740996C9791D51433401E4B6947BBC147409E6EB0CCE41433403EADD00FBAC1474001020000000300000059188C081B1533403EADD00FBAC14740532D7D433C153340CFE9680BBEC1474000000000501533408BD15E0DC2C14740:0107000020E610000000000000}	{0101000020E6100000680355489E1433408C7ED9E2BFC14740:NULL:NULL:0102000020E6100000030000001A0ED3F1241533403EADD00FBAC147403A38222933153340712F1FFFBBC1474000000000501533408DB48A05C2C14740}
13018562	2012-09-07 05:42:50	36242	22912	16	{79441,79438,79444}	{0101000020E6100000E40A94B99E153340A91B83A9C1C14740:0102000020E61000000200000000000000501533408BD15E0DC2C1474086EAE6E26F153340ACEEEC86C8C14740:0107000020E610000000000000}	{NULL:NULL:0102000020E61000000200000000000000501533408DB48A05C2C14740935C59FD6C15334005680014C8C14740}
13018562	2012-09-07 05:42:50	18120	11456	15	{}	{}	{}
13018562	2012-09-07 05:42:50	18121	11456	15	{}	{}	{}
13018562	2012-09-07 05:42:50	18121	11457	15	{}	{}	{}
13018562	2012-09-07 05:42:50	9060	5728	14	{}	{}	{}
13018562	2012-09-07 05:42:50	4530	2864	13	{}	{}	{}
13018562	2012-09-07 05:42:50	2265	1432	12	{}	{}	{}
13018562	2012-09-07 05:42:50	1132	716	11	{}	{}	{}
13018562	2012-09-07 05:42:50	566	358	10	{}	{}	{}
13018562	2012-09-07 05:42:50	283	179	9	{}	{}	{}
13018562	2012-09-07 05:42:50	141	89	8	{}	{}	{}
13018562	2012-09-07 05:42:50	70	44	7	{}	{}	{}
13018562	2012-09-07 05:42:50	35	22	6	{}	{}	{}
13018562	2012-09-07 05:42:50	17	11	5	{}	{}	{}
13018562	2012-09-07 05:42:50	8	5	4	{}	{}	{}
13018562	2012-09-07 05:42:50	4	2	3	{}	{}	{}
13018562	2012-09-07 05:42:50	2	1	2	{}	{}	{}
